Flight Number,Origin City,Destination City,Departure Date,Arrival Date,Total Duration,Stops,Airline,Airline,Price,Review
FL-1,Ahmedabad,Bangalore,2024-01-01 00:00,2024-01-01 00:00,1h 57m,0,6E,IndiGo Airlines,9278,Excellent
FL-2,Ahmedabad,Mumbai,2024-01-01 01:00,2024-01-01 01:00,5h 43m,0,6E,IndiGo Airlines,11427,Good
FL-3,Ahmedabad,Kolkata,2024-01-01 02:00,2024-01-01 02:00,4h 52m,0,6E,IndiGo Airlines,9093,Excellent
FL-4,Ahmedabad,Delhi,2024-01-01 03:00,2024-01-01 03:00,2h 26m,0,6E,IndiGo Airlines,5109,Good
FL-5,Ahmedabad,Goa,2024-01-01 04:00,2024-01-01 04:00,2h 15m,0,6E,IndiGo Airlines,3043,Excellent
FL-6,Ahmedabad,Hyderabad,2024-01-01 05:00,2024-01-01 05:00,5h 31m,0,6E,IndiGo Airlines,14064,Good
FL-7,Ahmedabad,Jaipur,2024-01-01 06:00,2024-01-01 06:00,2h 17m,0,6E,IndiGo Airlines,10420,Good
FL-8,Ahmedabad,Madras,2024-01-01 07:00,2024-01-01 07:00,2h 32m,0,6E,IndiGo Airlines,11462,Excellent
FL-9,Ahmedabad,Pune,2024-01-01 08:00,2024-01-01 08:00,4h 20m,0,6E,IndiGo Airlines,7106,Excellent
FL-10,Bhubaneswar,Bangalore,2024-01-01 09:00,2024-01-01 09:00,1h 43m,0,6E,IndiGo Airlines,5330,Good
FL-11,Bhubaneswar,Mumbai,2024-01-01 10:00,2024-01-01 10:00,3h 5m,0,6E,IndiGo Airlines,11244,Excellent
FL-12,Bhubaneswar,Kolkata,2024-01-01 11:00,2024-01-01 11:00,2h 32m,0,6E,IndiGo Airlines,11855,Good
FL-13,Bhubaneswar,Delhi,2024-01-01 12:00,2024-01-01 12:00,2h 53m,0,6E,IndiGo Airlines,10388,Excellent
FL-14,Bhubaneswar,Hyderabad,2024-01-01 13:00,2024-01-01 13:00,4h 14m,0,6E,IndiGo Airlines,14318,Excellent
FL-15,Bhubaneswar,Vishakhapatnam,2024-01-01 14:00,2024-01-01 14:00,2h 12m,0,6E,IndiGo Airlines,5863,Good
FL-16,Baroda,Mumbai,2024-01-01 15:00,2024-01-01 15:00,2h 28m,0,6E,IndiGo Airlines,12137,Excellent
FL-17,Baroda,Delhi,2024-01-01 16:00,2024-01-01 16:00,1h 28m,0,6E,IndiGo Airlines,10627,Excellent
FL-18,Bangalore,Ahmedabad,2024-01-01 17:00,2024-01-01 17:00,4h 9m,0,6E,IndiGo Airlines,7712,Good
FL-19,Bangalore,Bhubaneswar,2024-01-01 18:00,2024-01-01 18:00,5h 13m,0,6E,IndiGo Airlines,4802,Excellent
FL-20,Bangalore,Mumbai,2024-01-01 19:00,2024-01-01 19:00,4h 24m,0,6E,IndiGo Airlines,12045,Good
FL-21,Bangalore,Kolkata,2024-01-01 20:00,2024-01-01 20:00,4h 21m,0,6E,IndiGo Airlines,6062,Good
FL-22,Bangalore,Kochi,2024-01-01 21:00,2024-01-01 21:00,2h 45m,0,6E,IndiGo Airlines,14215,Good
